name,eissn,index,citations,jif2026,jif2025,quartile
CA-A CANCER JOURNAL FOR CLINICIANS,1542-4863,SCIE,78841,685.2,232.4,Q1
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0080,SCIE,83533,118.0,90.2,Q1
LANCET,1474-547X,SCIE,378842,109.0,88.5,Q1
NATURE REVIEWS MICROBIOLOGY,1740-1534,SCIE,71046,104.6,103.3,Q1
MMWR Surveillance Summaries,1545-8636,SCIE,3511,96.9,49.8,Q1
Nature Reviews Clinical Oncology,1759-4782,SCIE,39514,94.6,82.2,Q1
NATURE REVIEWS DRUG DISCOVERY,1474-1784,SCIE,57448,91.2,101.8,Q1
NEW ENGLAND JOURNAL OF MEDICINE,1533-4406,SCIE,414591,84.5,78.5,Q1
Nature Reviews Materials,2058-8437,SCIE,49906,83.3,86.2,Q1
Signal Transduction and Targeted Therapy,2059-3635,SCIE,88969,81.2,52.7,Q1
ANNALS OF ONCOLOGY,1569-8041,SCIE,68920,80.4,65.4,Q1
Nature Reviews Disease Primers,2056-676X,SCIE,45742,79.8,60.6,Q1
World Psychiatry,2051-5545,"SCIE, SSCI",17298,79.5,65.8,Q1
Nature Reviews Earth & Environment,2662-138X,SCIE,20911,74.1,71.5,Q1
Nature Energy,2058-7546,SCIE,64421,70.1,60.1,Q1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,1538-3598,SCIE,205027,65.4,55.0,Q1
Living Reviews in Relativity,1433-8351,SCIE,5696,64.6,62.5,Q1
CHEMICAL REVIEWS,1520-6890,SCIE,262229,64.2,55.8,Q1
NATURE REVIEWS CANCER,1474-1768,SCIE,62745,60.7,66.8,Q1
Nature Reviews Gastroenterology & Hepatology,1759-5053,SCIE,35643,57.5,51.0,Q1
NATURE,1476-4687,SCIE,1053832,56.1,48.5,Q1
CANCER CELL,1878-3686,SCIE,64398,56.1,44.5,Q1
Annual Review of Organizational Psychology and Organizational Behavior,2327-0616,SSCI,8791,55.9,31.1,Q1
BMJ-British Medical Journal,1756-1833,SCIE,188624,55.1,42.7,Q1
LANCET NEUROLOGY,1474-4465,SCIE,59391,54.6,45.5,Q1
Nature Reviews Methods Primers,2662-8449,SCIE,14296,54.2,56.0,Q1
eScience,2667-1417,SCIE,9810,52.9,36.6,Q1
NATURE MEDICINE,1546-170X,SCIE,154284,52.5,50.0,Q1
NATURE REVIEWS GENETICS,1471-0064,SCIE,46718,51.4,52.0,Q1
MMWR Recommendations and Reports,1545-8601,SCIE,3790,51.3,60.1,Q1
Electrochemical Energy Reviews,2520-8136,SCIE,7934,50.7,36.3,Q1
IEEE Communications Surveys and Tutorials,1553-877X,SCIE,37232,50.6,46.7,Q1
Nature Reviews Chemistry,2397-3358,SCIE,19843,50.3,51.7,Q1
Nature Reviews Cardiology,1759-5010,SCIE,27057,50.2,44.2,Q1
REVIEWS OF MODERN PHYSICS,1539-0756,SCIE,71972,48.9,44.8,Q1
Nature Catalysis,2520-1158,SCIE,38981,48.3,44.6,Q1
CHEMICAL SOCIETY REVIEWS,1460-4744,SCIE,194270,48.3,39.0,Q1
Journal of Hematology & Oncology,1756-8722,SCIE,32695,47.8,40.4,Q1
SCIENCE,1095-9203,SCIE,831162,47.3,45.8,Q1
NATURE REVIEWS IMMUNOLOGY,1474-1741,SCIE,69495,47.1,60.9,Q1
Nature Reviews Nephrology,1759-507X,SCIE,23411,46.7,39.8,Q1
Nature Reviews Physics,2522-5820,SCIE,16004,46.6,39.5,Q1
EUROPEAN HEART JOURNAL,1522-9645,SCIE,104376,45.3,35.6,Q1
CELL,1097-4172,SCIE,329596,45.1,42.5,Q1
JOURNAL OF CLINICAL ONCOLOGY,1527-7755,SCIE,180692,44.7,41.9,Q1
NATURE BIOTECHNOLOGY,1546-1696,SCIE,111118,44.5,41.7,Q1
iMeta,2770-596X,SCIE,7646,44.4,33.2,Q1
PROGRESS IN MATERIALS SCIENCE,1873-2208,SCIE,44527,42.9,40.0,Q1
Nature Reviews Bioengineering,2731-6092,SCIE,5529,42.7,37.6,Q1
Nature Electronics,2520-1131,SCIE,26060,42.3,40.9,Q1
Molecular Cancer,1476-4598,SCIE,53231,42.2,33.9,Q1
Annual Review of Psychology,1545-2085,SCIE,35759,41.8,29.4,Q1
CIRCULATION,1524-4539,SCIE,186674,41.3,38.6,Q1
